TIME_STAMP,Iperf Analysis Statistics DM Monitor Rx Throughput (Mbps)
2025-10-28 21:16:08.686132,115.000
2025-10-28 21:16:09.683603,57.300
2025-10-28 21:16:10.680110,56.200
2025-10-28 21:16:11.679792,35.400
2025-10-28 21:16:12.683817,24.400
2025-10-28 21:16:13.681474,23.400
2025-10-28 21:16:14.682468,45.700
2025-10-28 21:16:15.680106,61.000
2025-10-28 21:16:16.681799,76.400
2025-10-28 21:16:17.679384,71.300
2025-10-28 21:16:18.682586,57.300
2025-10-28 21:16:19.681952,49.700
2025-10-28 21:16:20.683580,56.300
2025-10-28 21:16:21.683967,63.500
2025-10-28 21:16:22.679289,66.100
2025-10-28 21:16:23.682193,73.400
2025-10-28 21:16:24.681444,74.500
2025-10-28 21:16:25.684424,72.700
2025-10-28 21:16:26.681809,70.700
2025-10-28 21:16:27.682445,63.000
2025-10-28 21:16:28.679603,53.800
2025-10-28 21:16:29.683117,51.500
2025-10-28 21:16:30.682132,42.100
2025-10-28 21:16:31.682843,27.100
2025-10-28 21:16:32.684615,27.700
2025-10-28 21:16:33.680138,83.400
2025-10-28 21:16:34.678157,85.300
2025-10-28 21:16:35.683383,127.000
2025-10-28 21:16:36.682207,136.000
2025-10-28 21:16:38.855885,128.000
2025-10-28 21:16:38.870075,1020.000
2025-10-28 21:16:38.872121,65.900
2025-10-28 21:16:56.776017,255.000
2025-10-28 21:16:57.779077,199.000
2025-10-28 21:16:58.779025,211.000
2025-10-28 21:16:59.777427,212.000
2025-10-28 21:17:00.777630,224.000
2025-10-28 21:17:01.777496,200.000
2025-10-28 21:17:02.774351,173.000
2025-10-28 21:17:03.778930,183.000
2025-10-28 21:17:04.779437,181.000
2025-10-28 21:17:05.780631,195.000
2025-10-28 21:17:06.779580,185.000
2025-10-28 21:17:07.776629,167.000
2025-10-28 21:17:08.774434,170.000
2025-10-28 21:17:09.776605,150.000
2025-10-28 21:17:10.777358,106.000
2025-10-28 21:17:11.778741,92.400
2025-10-28 21:17:12.778777,90.700
2025-10-28 21:17:13.775237,71.400
2025-10-28 21:17:14.776203,122.000
2025-10-28 21:17:15.777198,232.000
2025-10-28 21:17:16.780308,168.000
2025-10-28 21:17:17.778404,125.000
2025-10-28 21:17:18.776893,127.000
2025-10-28 21:17:19.774955,94.300
2025-10-28 21:17:20.777908,37.000
2025-10-28 21:17:21.778030,41.100
2025-10-28 21:17:22.778926,34.500
2025-10-28 21:17:23.780362,32.300
2025-10-28 21:17:24.776146,24.100
2025-10-28 21:17:53.929114,177.000
2025-10-28 21:17:54.923526,183.000
2025-10-28 21:17:55.920771,145.000
2025-10-28 21:17:56.924221,198.000
2025-10-28 21:17:57.922290,132.000
2025-10-28 21:17:58.924483,111.000
2025-10-28 21:17:59.923039,76.300
2025-10-28 21:18:00.923709,101.000
2025-10-28 21:18:01.922407,57.500
2025-10-28 21:18:02.924596,89.100
2025-10-28 21:18:03.924615,66.200
2025-10-28 21:18:04.927418,23.000
2025-10-28 21:18:05.926522,156.000
2025-10-28 21:18:06.924913,130.000
2025-10-28 21:18:07.920620,126.000
2025-10-28 21:18:08.923211,140.000
2025-10-28 21:18:09.923471,115.000
2025-10-28 21:18:10.922706,119.000
2025-10-28 21:18:11.922570,109.000
2025-10-28 21:18:12.923078,152.000
2025-10-28 21:18:13.922328,153.000
2025-10-28 21:18:14.926174,127.000
2025-10-28 21:18:15.922198,139.000
2025-10-28 21:18:16.924116,118.000
2025-10-28 21:18:17.925123,127.000
2025-10-28 21:18:18.925573,113.000
2025-10-28 21:18:19.922599,83.800
2025-10-28 21:18:20.922114,56.200
2025-10-28 21:18:21.922456,36.400
2025-10-28 21:19:32.007409,75.400
2025-10-28 21:19:33.002153,0.000
2025-10-28 21:19:34.001184,54.200
2025-10-28 21:19:35.000947,215.000
2025-10-28 21:19:36.001023,202.000
2025-10-28 21:19:36.998402,132.000
2025-10-28 21:19:38.001324,178.000
2025-10-28 21:19:39.002266,184.000
2025-10-28 21:19:40.001201,111.000
2025-10-28 21:19:40.998356,121.000
2025-10-28 21:19:42.001645,74.900
2025-10-28 21:19:43.000457,91.500
2025-10-28 21:19:44.002277,169.000
2025-10-28 21:19:45.000273,28.300
2025-10-28 21:19:45.999121,24.500
2025-10-28 21:19:47.000425,49.100
2025-10-28 21:19:48.001165,207.000
2025-10-28 21:19:49.002263,167.000
2025-10-28 21:19:50.000077,214.000
2025-10-28 21:19:51.002826,188.000
2025-10-28 21:19:52.000733,198.000
2025-10-28 21:19:53.002379,214.000
2025-10-28 21:19:53.999788,115.000
2025-10-28 21:19:55.001509,146.000
2025-10-28 21:19:56.004815,104.000
2025-10-28 21:19:57.001585,6.570
2025-10-28 21:19:58.000435,14.500
2025-10-28 21:19:59.000192,11.800
2025-10-28 21:20:00.006559,13.000
2025-10-28 21:20:31.937773,108.000
2025-10-28 21:20:32.932138,105.000
2025-10-28 21:20:33.930090,105.000
2025-10-28 21:20:34.934968,104.000
2025-10-28 21:20:35.934296,110.000
2025-10-28 21:20:36.934748,118.000
2025-10-28 21:20:37.934213,119.000
2025-10-28 21:20:38.932236,108.000
2025-10-28 21:20:39.930963,113.000
2025-10-28 21:20:40.936755,120.000
2025-10-28 21:20:41.933946,126.000
2025-10-28 21:20:42.934144,130.000
2025-10-28 21:20:43.934581,120.000
2025-10-28 21:20:44.933596,104.000
2025-10-28 21:20:45.932201,103.000
2025-10-28 21:20:46.933648,92.400
2025-10-28 21:20:47.936172,85.700
2025-10-28 21:20:48.934442,74.900
2025-10-28 21:20:49.934552,79.500
2025-10-28 21:20:50.933879,74.800
2025-10-28 21:20:51.935708,70.900
2025-10-28 21:20:52.936034,69.100
2025-10-28 21:20:53.932934,65.400
2025-10-28 21:20:54.934563,54.000
2025-10-28 21:20:55.935350,55.100
2025-10-28 21:20:56.932560,50.800
2025-10-28 21:22:10.853178,242.000
2025-10-28 21:22:11.850044,216.000
2025-10-28 21:22:12.850947,212.000
2025-10-28 21:22:13.850708,256.000
2025-10-28 21:22:14.851520,194.000
2025-10-28 21:22:15.853286,182.000
2025-10-28 21:22:16.849874,174.000
2025-10-28 21:22:17.850234,166.000
2025-10-28 21:22:18.849760,173.000
2025-10-28 21:22:19.849267,191.000
2025-10-28 21:22:20.850666,196.000
2025-10-28 21:22:21.851836,201.000
2025-10-28 21:22:22.849520,177.000
2025-10-28 21:22:23.850277,172.000
2025-10-28 21:22:24.850713,172.000
2025-10-28 21:22:25.849605,188.000
2025-10-28 21:22:26.849952,194.000
2025-10-28 21:22:27.850485,188.000
2025-10-28 21:22:28.849769,184.000
2025-10-28 21:22:29.849200,185.000
2025-10-28 21:22:30.850537,194.000
2025-10-28 21:22:31.849211,206.000
2025-10-28 21:22:32.849585,204.000
2025-10-28 21:22:33.850630,207.000
2025-10-28 21:22:34.849925,212.000
2025-10-28 21:22:35.851427,216.000
2025-10-28 21:22:36.851214,211.000
2025-10-28 21:22:37.849885,215.000
2025-10-28 21:22:38.851172,207.000
2025-10-28 21:22:41.226999,211.000
2025-10-28 21:22:41.237601,1020.000
2025-10-28 21:22:41.240609,198.000
2025-10-28 21:25:39.098271,78.700
2025-10-28 21:25:40.097705,106.000
2025-10-28 21:25:41.097350,16.500
2025-10-28 21:25:42.097401,15.500
2025-10-28 21:25:43.100820,40.000
2025-10-28 21:25:44.102776,63.400
2025-10-28 21:25:44.901378,63.400
2025-10-28 21:26:04.072448,80.900
2025-10-28 21:26:05.071621,48.600
2025-10-28 21:26:06.076667,150.000
2025-10-28 21:26:07.073732,78.600
2025-10-28 21:26:08.071149,58.000
2025-10-28 21:26:09.074027,45.900
2025-10-28 21:26:10.073312,49.900
2025-10-28 21:26:11.072864,51.900
2025-10-28 21:26:12.074139,46.400
2025-10-28 21:26:12.302261,46.400
2025-10-28 21:26:50.361310,82.800
2025-10-28 21:26:51.362769,75.400
2025-10-28 21:26:52.361730,86.300
2025-10-28 21:26:53.358532,69.300
2025-10-28 21:26:54.360258,99.400
2025-10-28 21:26:55.358327,89.400
2025-10-28 21:26:56.359204,99.000
2025-10-28 21:26:57.361285,75.500
2025-10-28 21:26:58.360218,87.600
2025-10-28 21:26:59.360970,103.000
2025-10-28 21:27:00.360061,77.500
2025-10-28 21:27:01.357145,86.400
2025-10-28 21:27:01.918663,86.400
2025-10-28 21:27:21.658649,78.400
2025-10-28 21:27:22.652979,21.500
2025-10-28 21:27:23.656144,115.000
2025-10-28 21:27:24.657398,92.600
2025-10-28 21:27:25.656207,103.000
2025-10-28 21:27:26.656698,73.300
2025-10-28 21:27:27.653121,79.900
2025-10-28 21:27:28.656231,74.800
2025-10-28 21:27:29.655495,27.100
2025-10-28 21:27:30.657446,26.700
2025-10-28 21:27:31.657115,40.600
2025-10-28 21:27:32.659576,46.900
2025-10-28 21:27:33.653309,51.100
2025-10-28 21:27:34.655588,44.200
2025-10-28 21:27:35.652569,63.500
2025-10-28 21:27:35.661990,63.500
